"","Season1","Season2","Season3","Season4","quarter","week_num","Pre_weaning_mortality","MYCOatPlacement","PRRSatPlacement","avg_parity_at_farrow3","Lactation_days3","LateralCoronavirus","LateralPRRS","LateralEnteric","OtherHealthIssue","mortality_60days"
"2324",1,0,0,0,1,13,0.130794,0,1,4.3,19.5,0,0,0,0,1.87308868501529
"2325",0,1,0,0,2,14,0.103372,1,1,4.2,18.1,0,0,0,0,2.45398773006135
"2326",0,1,0,0,2,16,0.117433,1,1,3.89333909204338,20.6050388712928,0,0,0,0,4.04457284358234
"2327",1,0,0,0,1,13,0.111835,1,1,3.65966886801228,16.4871081759836,0,0,0,0,3.11968235961429
"2328",0,1,0,0,2,14,0.126809,1,1,4.09379836391775,22.1516803006854,0,0,0,0,2.54762451227909
"2329",1,0,0,0,1,12,0.117736,1,1,4,19,0,0,0,0,13.1029244208128
"2330",1,0,0,0,1,13,0.111835,1,1,3.65966886801228,16.4871081759836,0,0,0,0,3.39048352918513
"2331",1,0,0,0,1,13,0.147039,0,1,4.3,18.6,0,0,0,0,2.63929618768328
"2332",0,1,0,0,2,15,0.213228,1,1,3.8,21.5,0,0,0,0,7.44886144345812
"2333",1,0,0,0,1,9,0.128794,0,1,3.9,18.3,0,0,0,0,1.76539819537073
"2334",1,0,0,0,1,13,0.116471,0,0,4.08456683168317,16.8802475247525,1,0,0,0,3.5406264185202
"2335",1,0,0,0,1,13,0.122876,0,0,1.3,19.6,0,0,0,0,3.64604670217124
"2336",1,0,0,0,1,13,0.135862,0,1,3.8,19.9,0,0,0,0,2.43400112338513
"2337",0,1,0,0,2,14,0.126749,1,0,4.20068454078722,16.8565031374786,0,0,0,0,3.65332296929654
"2338",0,1,0,0,2,14,0.137729,1,1,3.7,15.8,1,0,0,0,12.1323529411765
"2339",0,1,0,0,2,14,0.141868,1,1,4.5,20.3,0,0,0,0,7.06203667577058
"2340",0,1,0,0,2,14,0.133769,1,1,3.6,18.1504200112003,0,0,0,0,8.79699248120301
"2341",0,1,0,0,2,15,0.13606,1,1,5.2,22.2,0,0,0,0,3.60846121941103
"2342",1,0,0,0,1,12,0.155932,1,1,4.7450434969391,21.5129631618516,1,0,0,0,7.22772277227723
"2343",1,0,0,0,1,12,0.155932,1,1,4.7450434969391,21.5129631618516,1,0,0,0,8.26906598114824
"2344",1,0,0,0,1,12,0.192723,0,1,4.1,18.1,0,0,0,0,5.72271386430678
"2345",1,0,0,0,1,13,0.123348,1,1,4.05366987711724,18.2681058341636,0,0,0,0,4.83835973096116
"2346",1,0,0,0,1,13,0.130794,0,1,4.3,19.5,0,0,0,0,2.20883534136546
"2347",0,1,0,0,2,14,0.126809,1,1,4.09379836391775,22.1516803006854,0,0,0,0,2.73099681383705
"2348",1,0,0,0,1,11,0.14341,0,1,4.2,17.9,0,1,0,0,2.17289170777543
"2349",1,0,0,0,1,13,0.147039,0,1,4.3,18.6,0,0,0,0,2.52918287937743
"2350",1,0,0,0,1,13,0.182991,0,0,2.91280487804878,18.7128048780488,0,0,0,0,4.49234488315874
"2351",0,1,0,0,2,14,0.117471,1,1,4.24536512348979,17.8721907409387,0,0,0,0,4.07569141193595
"2352",1,0,0,0,1,7,0.126637,0,1,4.2,18.5,0,0,0,0,2.75935828877005
"2353",1,0,0,0,1,13,0.123348,1,1,4.05366987711724,18.2681058341636,0,0,0,0,4.63188688444661
"2354",1,0,0,0,1,13,0.116022,1,1,4.06002345723565,17.5817755322988,0,0,0,0,9.44367451989705
"2355",0,1,0,0,2,14,0.117471,1,1,4.24536512348979,17.8721907409387,0,0,0,0,4.68554247055876
"2356",0,1,0,0,2,14,0.137729,1,1,3.7,15.8,1,0,0,0,12.220447284345
"2357",0,1,0,0,2,14,0.126749,1,0,4.20068454078722,16.8565031374786,0,0,0,0,5.09915014164306
"2358",0,1,0,0,2,16,0.133493,1,1,3.69485981308411,18.9129088785047,0,0,0,0,1.70162247724575
"2359",1,0,0,0,1,12,0.106666,1,0,4.3,17.9,0,0,0,0,3.42583732057416
"2360",1,0,0,0,1,12,8.803611,1,1,3.28166439290587,18.3665211459754,0,0,0,0,18.5798184730379
"2361",1,0,0,0,1,13,0.116022,1,1,4.06002345723565,17.5817755322988,0,0,0,0,10.7332236240629
"2362",0,1,0,0,2,14,0.124356,1,1,4.1,15.5,0,0,0,0,2.44660194174757
"2363",0,1,0,0,2,14,8.995893,1,1,3.7,19.2,0,0,0,0,8.38735818476499
"2364",0,1,0,0,2,14,0.133769,1,1,3.6,18.1504200112003,0,0,0,0,8.46303501945525
"2365",0,1,0,0,2,14,0.103372,1,1,4.2,18.1,0,0,0,0,2.45183887915937
"2366",0,1,0,0,2,14,0.202309,1,1,3.2,21.6,0,0,0,0,3.21495327102804
"2367",0,1,0,0,2,15,0.118506,0,0,4.43538294109645,16.220514215753,0,0,0,0,2.78273278630039
"2368",0,1,0,0,2,16,0.121467,1,1,4.7,18.3,0,0,0,0,1.1890118901189
"2369",0,1,0,0,2,16,0.147023,1,1,4.5,20.6,0,0,0,0,5.96462361168244
"2370",1,0,0,0,1,12,0.137882,0,0,4.4,16,0,0,0,0,3.46189591078067
"2371",0,1,0,0,2,15,0.112824,1,0,4.7,19.5,0,0,0,0,7.07407407407407
"2372",0,1,0,0,2,14,0.202309,1,1,3.2,21.6,0,0,0,0,3.02809193724918
"2373",0,1,0,0,2,15,0.116473,1,0,3.9,20.8,0,0,0,0,4.21084519842472
"2374",0,1,0,0,2,16,0.122344,0,1,3.9,17.4,0,0,0,0,4.34782608695652
"2375",0,1,0,0,2,15,0.118506,0,0,4.43538294109645,16.220514215753,0,0,0,0,3.98009950248756
"2376",1,0,0,0,1,13,8.619281,1,0,3.97017975402081,17.9007947019868,0,0,0,0,1.83809151349237
"2377",0,1,0,0,2,15,0.213228,1,1,3.8,21.5,0,0,0,0,7.54420432220039
"2378",0,1,0,0,2,14,9.736945,1,1,3.39510603588907,19.6975530179445,0,0,0,0,5.53529285561038
"2379",0,1,0,0,2,16,0.111845,1,1,3.95348573587757,17.8496126960136,0,0,0,0,7.13087248322148
"2380",0,1,0,0,2,17,0.178509,1,1,6.91986581920904,23.3421751412429,0,1,0,0,3.63369040117622
